meanfun,IQR,spent,label,Q25
0.158,0.255,0.636,male,0.06
0.288,0.247,0.631,male,0.078
0.237,0.457,0.443,male,0.034
0.183,0.407,0.923,male,0.39
0.279,0.474,0.959,male,0.318
0.3,0.535,0.923,male,0.274
0.277,0.413,0.941,male,0.375
0.206,0.45,0.907,male,0.446
0.226,0.445,0.954,male,0.356
0.276,0.47,0.972,male,0.305
0.183,0.424,0.931,male,0.41
0.267,0.424,0.934,male,0.352
0.204,0.469,0.924,male,0.336
0.417,0.362,0.817,male,0.52
0.259,0.406,0.829,male,0.522
0.255,0.413,0.873,male,0.467
0.317,0.41,0.821,male,0.534
0.133,0.449,0.815,male,0.494
0.153,0.461,0.805,male,0.467
0.19,0.446,0.79,male,0.5
0.209,0.466,0.768,male,0.485
0.237,0.467,0.726,male,0.52
0.038,0.416,0.774,male,0.46
0.122,0.469,0.72,male,0.501
0.238,0.428,0.799,male,0.488
0.15,0.451,0.83,male,0.479
0.148,0.451,0.784,male,0.471
0.412,0.454,0.672,male,0.508
0.354,0.435,0.72,male,0.493
0.39,0.456,0.47,male,0.523
0.065,0.451,0.964,male,0.374
0.396,0.456,0.728,male,0.493
0.424,0.467,0.567,male,0.529
0.38,0.459,0.562,male,0.499
0.379,0.465,0.563,male,0.516
0.355,0.435,0.75,male,0.49
0.479,0.248,0.679,male,0.55
0.458,0.442,0.573,male,0.537
0.416,0.245,0.539,male,0.543
0.395,0.431,0.712,male,0.52
0.47,0.422,0.637,male,0.53
0.143,0.428,0.83,male,0.392
0.253,0.413,0.819,male,0.472
0.22,0.412,0.854,male,0.4
0.253,0.41,0.772,male,0.468
0.23,0.383,0.838,male,0.383
0.137,0.416,0.796,male,0.449
0,0.43,0.862,male,0.447
0.252,0.422,0.836,male,0.422
0.114,0.419,0.923,male,0.349
0.238,0.433,0.937,male,0.359
0.193,0.413,0.862,male,0.354
0.252,0.404,0.93,male,0.366
0.295,0.408,0.937,male,0.366
0.311,0.431,0.888,male,0.414
0.264,0.46,0.93,male,0.355
0.262,0.431,0.959,male,0.366
0.414,0.716,0.793,male,0.123
0.433,0.691,0.879,male,0.201
0.339,0.361,0.951,male,0.178
0.325,0.545,0.862,male,0.231
0.358,0.399,0.837,male,0.411
0.3,0.513,0.83,male,0.388
0.265,0.548,0.855,male,0.359
